Frequency,Actual Temperature,Normalized Frequency,Normalized Temperature,Predicted Temperature,Error
480.7692308,152,4.3191135362850765,3.1548499522616518,151.97869637057738,0.021303629422618542
484.9660524,152,4.3607923827135835,3.1548499522616518,153.3303711677413,-1.3303711677413048
486.6180049,152,4.377198006091686,3.1548499522616518,153.91620824065512,-1.9162082406551235
485.4368932,152,4.365468326383782,3.1548499522616518,153.49414977724155,-1.494149777241546
480.7692308,152,4.3191135362850765,3.1548499522616518,151.97869637057738,0.021303629422618542
472.3665564,152,4.2356661541265535,3.1548499522616518,149.8051550984119,2.1948449015881124
460.8294931,151,4.121090998128343,3.1247444410357264,147.78424728730442,3.2157527126955756
446.4285714,150,3.97807472029484,3.094638929809801,146.42559886682284,3.5744011331771617
430.1075269,149,3.8159896063437677,3.064533418583875,145.88536801858982,3.1146319814101844
412.2011542,147,3.6381605182893932,3.004322396132024,145.87536179069434,1.1246382093056582
393.3910307,146,3.4513562355775087,2.9742168849060984,145.9268434612161,0.07315653878390549
374.1114852,144,3.259890099369598,2.914005862454247,145.58222145434058,-1.5822214543405835
354.6099291,141,3.0662191647249597,2.8236893287764704,144.52959262205957,-3.5295926220595675
335.2329869,140,2.873785776989859,2.7935838175505445,142.65518258231896,-2.6551825823189574
316.3555837,137,2.6863133361928044,2.703267283872768,140.04465335868036,-3.044653358680364
297.8850164,135,2.5028812031843164,2.6430562614209165,136.84347157536126,-1.8434715753612636
280.033604,133,2.325597928633991,2.5828452389690657,133.29387674372333,-0.29387674372333095
262.8811777,131,2.155256320204894,2.5226342165172144,129.62788208682068,1.3721179131793235
246.4875524,128,1.9924504026778829,2.4323176828394377,126.04493725071188,1.9550627492881176
230.8935581,126,1.837585660836889,2.3721066603875864,122.6920935530751,3.3079064469249033
216.1694769,123,1.6913600697525168,2.2817901267098097,119.66739593936924,3.332604060630757
202.1835827,121,1.552465450899254,2.2215791042579585,116.977664239027,4.022335760972993
188.9644747,118,1.4211858243709687,2.1312625705801818,114.62359367863857,3.3764063213614293
176.5536723,116,1.2979335214176717,2.0710515481283305,112.57645801922459,3.4235419807754113
164.9348507,113,1.182546419629353,1.9807350144505536,110.77837558334447,2.22162441665553
154.0832049,111,1.0747781793032098,1.920523991998702,109.16304523264994,1.8369547673500648
143.9470275,109,0.974115291648729,1.860312969546851,107.66146318484552,1.3385368151544839
134.5351809,106,0.8806457696061287,1.769996435869074,106.22058341797172,-0.22058341797172432
125.7861635,104,0.7937588376920032,1.709785413417223,104.78730989714563,-0.7873098971456329
117.688596,102,0.7133414875056228,1.6495743909653717,103.32859685783055,-1.3285968578305472
110.2049813,100,0.6390213334606154,1.5893633685135204,101.8197612236443,-1.8197612236443064
103.2951141,97,0.5703990947001748,1.4990468348357437,100.24653536289361,-3.24653536289361
96.88983626,95,0.5067879582569969,1.4388358123838925,98.59559718667842,-3.595597186678418
90.95043201,93,0.4478034358716353,1.3786247899320414,96.86562818863524,-3.8656281886352417
85.46278096,91,0.3933052972406812,1.3184137674801901,95.06799279937492,-4.06799279937492
80.36647111,89,0.3426935877531407,1.2582027450283388,93.20225397013496,-4.2022539701349615
75.6429652,87,0.2957842129474465,1.1979917225764878,91.28295646492413,-4.282956464924126
